country,year,primary_energy_consumption,oil_production,gas_production,coal_production,renewables_consumption,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity
India,1939,,3.6169300079345694,0.0,179.5092315673828,,,,,
India,1940,,4.291470050811768,0.0,189.9750366210937,,,,,
India,1941,,4.500810146331787,0.0,190.4649200439453,,,,,
India,1942,,4.337989807128906,0.0,190.26133728027344,,,,,
India,1943,,4.256579875946045,0.0,164.91436767578125,,,,,
India,1944,,4.32636022567749,0.0,168.89073181152344,,,,,
India,1945,,3.6750800609588623,0.0,188.5435485839844,,,,,
India,1946,,3.407589912414551,0.0,186.80030822753903,,,,,
India,1947,,2.895869970321656,0.0,191.78826904296875,,,,,
India,1948,,2.919130086898804,0.0,191.6546630859375,,,,,
India,1949,,2.942389965057373,0.0,201.649658203125,,,,,
India,1950,,3.01217007637024,0.0,208.8452911376953,,,,,
India,1951,,3.128469944000244,0.0,222.371322631836,,,,,
India,1952,,3.058690071105957,0.0,234.66943359375,,,,,
India,1953,,3.163360118865967,0.0,232.5826416015625,,,,,
India,1954,,3.5704100131988525,0.0,238.39767456054688,,,,,
India,1955,,4.035610198974609,0.0,247.1011505126953,,,,,
India,1956,,4.605480194091797,0.0,254.7230682373047,,,,,
India,1957,,5.117199897766113,0.0,281.2343139648437,,,,,
India,1958,,5.105569839477539,0.0,293.0870666503906,,,,,
India,1959,,5.233500003814697,0.0,304.2463684082031,,,,,
India,1960,,5.280020236968994,1.6156718730926514,334.60675048828125,,,,,
India,1961,,5.966189861297607,1.2437186241149902,356.6962585449219,,,,,
India,1962,,12.537139892578123,2.4874372482299805,390.44769287109375,,,,,
India,1963,,19.21276092529297,3.1151084899902344,419.6246948242188,,,,,
India,1964,,25.72555923461914,3.742779493331909,397.2552490234375,,,,,
India,1965,619.4514770507812,35.1458625793457,4.649415493011475,427.2975158691406,53.24148941040039,0.0,0.0,19.16693687438965,0.0
India,1966,638.413818359375,54.04460906982422,4.335579872131348,432.4635925292969,55.59850692749024,0.0,0.0,20.01546287536621,0.0
India,1967,658.4335327148438,65.90721130371094,5.416569232940674,434.04779052734375,62.21533203125,0.0,0.0,22.397520065307617,0.0
India,1968,703.9852294921875,68.07038879394531,7.020617485046387,450.5322265625,71.80297088623047,0.0,0.0,25.849071502685547,0.0
India,1969,780.4359741210938,78.18849182128906,8.473559379577637,479.77923583984375,79.72106170654297,0.0,0.0,28.699583053588867,0.7247815728187561
India,1970,763.7407836914062,79.18866729736328,6.328466415405273,468.88079833984375,84.54557037353516,0.0,0.0,30.4364070892334,1.3081424236297607
India,1971,794.3862915039062,83.5615463256836,6.70621919631958,456.9580383300781,92.7337417602539,0.0,0.0,33.38414764404297,0.9722679853439332
India,1972,835.8585815429688,85.74799346923828,7.3559064865112305,481.3506774902344,90.0084457397461,0.0,0.0,32.40304183959961,0.9236546158790588
India,1973,853.32373046875,83.71273803710938,7.336656093597412,495.4238586425781,95.85187530517578,0.0,0.0,34.506675720214844,1.9533747434616089
India,1974,903.9876098632812,87.10869598388672,8.30396842956543,535.0730590820312,92.2304229736328,0.0,0.0,33.20295333862305,1.7986958026885986
India,1975,972.01123046875,96.33129119873048,10.630812644958496,610.2041625976562,110.19036865234376,0.0,0.0,39.66853332519531,2.143409013748169
India,1976,1019.4540405273438,100.70417785644533,12.91434383392334,641.7924194335938,115.27267456054688,0.0,0.0,41.498165130615234,2.656059503555298
India,1977,1078.320068359375,118.45155334472656,13.792624473571776,637.9942016601562,125.7687530517578,0.0,0.0,45.27675247192383,1.851728558540344
India,1978,1120.9727783203125,131.08172607421875,15.40481185913086,646.0233154296875,156.04164123535156,0.0,0.0,56.174991607666016,2.262732744216919
India,1979,1182.958984375,149.31756591796875,19.15856170654297,658.1941528320312,150.46829223632812,0.0,0.0,54.16858673095703,2.3467013835906982
India,1980,1218.5989990234375,109.31037139892578,11.33103084564209,540.4085693359375,154.00379943847656,0.0,0.0,55.44137191772461,2.448347568511963
India,1981,1349.2845458984375,174.1592559814453,19.781782150268555,741.7437744140625,164.11932373046875,0.0,0.0,59.08295822143555,2.466025114059448
India,1982,1336.0489501953125,231.21603393554688,25.93456268310547,734.2449340820312,138.49908447265625,0.0,0.0,49.85967254638672,2.156667232513428
India,1983,1405.0501708984375,294.8902893066406,30.85775184631348,776.8369750976562,133.45359802246094,0.0,0.0,48.04329681396485,3.0759024620056152
India,1984,1500.9185791015625,327.8962097167969,35.34059524536133,815.0645751953125,149.117919921875,0.0,0.0,53.68245315551758,4.039331436157227
India,1985,1584.2626953125,351.249267578125,43.2282829284668,841.7091064453125,143.9251251220703,0.0,0.0,51.81304550170898,4.507788181304932
India,1986,1695.590576171875,367.7638549804688,60.40024185180664,905.4258422851562,146.0243377685547,0.0,0.0,52.56876373291016,5.020438194274902
India,1987,1802.8536376953125,356.8549194335937,69.5770034790039,992.4843139648438,136.0070343017578,0.0,0.0,48.96253204345703,5.320957660675049
India,1988,1962.301513671875,375.4861755371094,81.5048828125,1055.135498046875,151.7081756591797,0.0,0.0,54.61494445800781,6.076674938201904
India,1989,2143.41357421875,400.6418762207031,96.90459442138672,1147.42724609375,176.02716064453125,0.0,0.0,63.36977767944336,4.02165412902832
India,1990,2300.701171875,397.4087524414063,115.92735290527344,1236.166748046875,184.63790893554688,0.0,0.0303030312061309,66.39706420898438,6.394871711730957
India,1991,2427.6630859375,374.25341796875,129.10801696777344,1321.8240966796875,205.9409637451172,0.0,0.1129100024700164,73.91888427734375,5.413764953613281
India,1992,2552.772216796875,339.4331970214844,144.34690856933594,1395.098388671875,195.2320251464844,0.0,0.0884699970483779,70.06074523925781,6.40371036529541
India,1993,2616.248046875,324.1862487792969,146.6708526611328,1441.369140625,197.53005981445312,0.0,0.09476999938488,70.73249816894531,6.226934432983398
India,1994,2757.12109375,376.5561218261719,158.56918334960938,1466.09521484375,224.53114318847656,0.0,0.1912800073623657,80.21211242675781,4.945308685302734
India,1995,2963.117919921875,426.20458984375,180.77828979492188,1547.9033203125,214.0350646972656,0.0010101010557264,0.4964700043201446,75.9208755493164,7.614626407623291
India,1996,3081.63134765625,404.7239990234375,197.3172149658203,1658.954345703125,196.646240234375,0.0060606058686971,0.8783800005912781,69.05754089355469,8.40127944946289
India,1997,3252.009765625,413.8535461425781,214.52633666992188,1713.905517578125,200.85955810546875,0.0060606058686971,0.9879999756813048,70.21100616455078,10.071812629699709
India,1998,3449.49658203125,403.5028381347656,235.42874145507807,1703.4461669921875,239.3663330078125,0.0060606058686971,1.0789999961853027,83.63272857666016,11.371116638183594
India,1999,3546.36279296875,402.560791015625,241.2336883544922,1666.204345703125,237.773178100586,0.0060606058686971,1.4459999799728394,82.24945068359375,12.727871894836426
India,2000,3725.401123046875,397.3273315429688,253.6269378662109,1771.1917724609375,224.1593475341797,0.0099999997764825,1.5800000429153442,76.98999786376953,15.770000457763672
India,2001,3740.87353515625,397.4784851074219,254.2774810791016,1793.7572021484375,212.1622314453125,0.0099999997764825,2.0899999141693115,72.0199966430664,18.88999938964844
India,2002,3870.80859375,409.8644714355469,265.54412841796875,1873.271484375,201.23098754882807,0.0099999997764825,2.0899999141693115,68.54000091552734,19.350000381469727
India,2003,4008.7099609375,411.56243896484375,284.2689819335937,1954.73388671875,205.48501586914065,0.0199999995529651,2.5999999046325684,69.30000305175781,18.13999938964844
India,2004,4352.6513671875,422.5760498046875,281.37762451171875,2110.9716796875,298.4032287597656,0.0199999995529651,5.230000019073486,100.63999938964844,21.26000022888184
India,2005,4608.4169921875,406.177734375,285.1213684082031,2207.15966796875,291.8139953613281,0.0199999995529651,5.989999771118164,97.41999816894533,17.729999542236328
India,2006,4854.86669921875,419.2033386230469,281.8681030273437,2303.685302734375,344.7429504394531,0.0099999997764825,9.34000015258789,112.62000274658205,17.6299991607666
India,2007,5268.9599609375,423.808837890625,289.6451416015625,2446.7548828125,381.6436462402344,0.0599999986588954,11.68000030517578,122.61000061035156,17.829999923706055
India,2008,5576.52880859375,439.5325927734375,293.9186096191406,2647.512451171875,372.70361328125,0.0599999986588954,14.380000114440918,115.16999816894533,15.229999542236328
India,2009,5988.3896484375,441.8934631347656,361.4993896484375,2857.77099609375,355.86181640625,0.0799999982118606,16.270000457763672,106.33999633789062,16.81999969482422
